block_number,transaction_index,operation,transaction_hash,amount,current_supply
19526126,122,deploy,0x68bc52102567423fa79cf3cb09a42b26b940ee128025b0dd8e7613ad7be06cdb,0,0
19526161,163,mint,0x0c4cf3250e65c34a3b6fafffc64596322665f4dd1fe6cc9406619a5710a49287,10000,10000
19527541,183,mint,0x7f1de86c0308c354e41a605cf08951c27fa5d6251590389fa8269d6618a21954,10000,20000
19527541,184,mint,0x203f7e693b8d335a483e0ba0ad73b9a10ef2ad37ae39ad6cbdc65d17451b2dc7,10000,30000
19527541,185,mint,0x5aca85e4783ddf34af0ce0fffbe21097de1a028af8dc873a40d9638c9698f822,10000,40000
19527596,118,mint,0x9c631212b7fcee403e636b6ad96767cbc91e55267bedc42a91fa57e4a1da7db7,10000,50000
19528170,128,mint,0x398f0268ba062d4852c2644f411bc0461502406a5b2b807c77d3b10ccbf2aaf1,10000,60000
19528218,133,mint,0x15c3042edca357cd6df4380beb78695dfee97066ab41a231bb583f7dca35a0e4,10000,70000
19528219,99,mint,0x772e92fdaa4d60c7df3d232b826155eec80587ba4382023ead128f76df566570,10000,80000
19528219,100,mint,0x50bc64a5be8862ae78df2f62df32356f475b517cf2202f9612c35a0be60766a4,10000,90000
19528221,67,mint,0x7a1a1f18a2fdffa591a04ce1a72741d65d63c95a7f3547cfbbc84ad9588a1ab3,10000,100000
19528223,53,mint,0xed26674ec8426e5c6f5e22b03615341f486f1192f05faad95e8c1b7bc309453c,10000,110000
19528893,45,mint,0x7fec9fa84fcc2a22317857e6d523f0a2a1e45045173167e685464ee70fa8aac1,10000,120000
19528893,46,mint,0x88af84b2b09931cd4c375ebcc18294bdde5a2b16ccf8c77501dd1c834b749d16,10000,130000
19528893,47,mint,0xf4c0cb285578c21aeaff754cc4d779527bf95110b463a6e8e1c4d8231aad9ee8,10000,140000
19528893,48,mint,0x45a1f91495ba0d22e142c7e430687cee3ac2b3b61bf86f72153034a576467a08,10000,150000
19528898,48,mint,0x261bdbd84239b162090accb5a7a4c8049b99b2f2aee6ecba37d0c4d3b4f9bcde,10000,160000
19528899,95,mint,0x6dc5bbcc5cd2970347e18e684476d7b7c7f826461fc6aa3e5aec2fe3f89806f2,10000,170000
19528899,96,mint,0x512bf2ffa7c822328a56551cbded5d0a7caabac64adc5055b47ef8931ebc3e8d,10000,180000
19528899,97,mint,0x3a6018c7a1e34aabc11f5b1f228efd373b5c5e129140dd8b9bedf1e58155a672,10000,190000
19528899,98,mint,0x2c1a9b9d61f6896af6726a8d127bc7e4a3ad251c91a79cf6e77bc2780f4c23ca,10000,200000
19528902,102,mint,0x54838d151f34459b304a30a865fdeb296e356a93e60ec358b815dcb80f5a80be,10000,210000
19528902,103,mint,0x66c01a079c09f090e287203685ece91231fc349209b2c9d18146e73c0738c676,10000,220000
19528903,101,mint,0x7170633f452fc4401effafd9a12253477b41bd65d761a6a1e64fa3a659a853e4,10000,230000
19528903,102,mint,0x69004bd1aeeca2d641da5cb2f4db8c732688c399e3f9269f6f2dad30ccbb53de,10000,240000
19528905,98,mint,0x005e510cfcb78e9682e2d2b850bf515623d2aaa3559e8c400ee2e239b61cb49a,10000,250000
19528905,99,mint,0x8db130725a9a7f509b22833b0754a4b4dc7e1c4ba768c45ff5bd4b0e3593c499,10000,260000
19528905,100,mint,0xd0e8a3736e562900f39f57a41dbb512790874e2beb219e91fe21898250b23f16,10000,270000
19528907,44,mint,0xc79bac1b34de5ca3cdbab46f8310758bae10330bcd89b293c68a909f12ccc509,10000,280000
19528907,45,mint,0xf92774f5d769194aea8b7c798d7beae8157f9972f1dbfaa235215aaa919c71cc,10000,290000
