block_number,transaction_index,operation,transaction_hash,amount,current_supply
19526617,186,deploy,0x2d6f706109fac8431799bfc1f44da842fcb8076f0e51a4b3a6058c5ba31d10d3,0,0
19529318,138,mint,0x15a4cb2ca38e94f872ff3fa4219d703909c734f4deabf15a1b1c650aed49d5b3,100,100
19529327,65,mint,0x33237ca1cba77543cd814f286bf36177cfe0e99354bb1883ae28b7be4bfd367c,100,200
19529333,75,mint,0xe624a071e535e660a19bd5e8c37bf3b20dcec0d453c2e4148b425bdb10a6a6c8,100,300
19529336,60,mint,0x13adbadfb9bb24a0d21e33a6975246464821c1d3ba0d6b8d34e21706e4da3a8c,100,400
19529339,52,mint,0x744297508b9be29f1d967d64be77133e1bd11f41fa12bb235a76e1cd12397266,100,500
19529341,78,mint,0x88a6878ad0aed28e6bea0fae067c25e46395ac3e70ffd75229dd5ef10ba5d60c,100,600
19529348,41,mint,0xe5a6cad4a1274899788a92559ed0f8a839ed477ec43b4684580aec03b032c422,100,700
19529355,75,mint,0x023b34e8782079635f61b49623c74fc4f73d1204bc4a969aaa93028d0abed87e,100,800
19529359,68,mint,0x3bc3e83e394cfd7d4a9526378bb355ed9075f5c97c7ca9a49d10ab9713e3814c,100,900
19529371,58,mint,0x15d113164fb490853e0a06b02504ecbd3b2d6538af1b2209b009f115f738653d,100,1000
19529462,81,mint,0x8ca9fb6b86dd81932df5db4e01178b5437fc67baa08dc3565ea045602c18b7d7,100,1100
19531585,174,mint,0x4df2b6d16de2f24fa8ea4641e2cd0a0b158a2b3697cf119bdc595ae11aea14e2,100,1200
19532311,68,mint,0xc8c7fb70563889419e0c7625f5256c5b0bedcb7cc5157149179d4a69aa1e662e,100,1300
19532528,130,mint,0xe6dc45c3642a4bc67627888aaf8dd9b893ecabc34abb8a64f9396516d58c1e07,100,1400
19535883,85,mint,0x91e69964a9b7c8ee6dd91aae363af61053a6eb159dae6538de9d737eee08a736,100,1500
19535883,159,mint,0xf134ed51b95a0c114883e71f936f4597d50815df0a7d4424d33ce9be69850851,100,1600
19535885,81,mint,0x28ead84aa0db86b2ab7355ea2205dcc02df98ec2788f7c5b6ab894648def254b,100,1700
19535885,82,mint,0xe53e70a6f6bafd253764f2484c133572ae67daa86ed9cc1417d9476cc1d8cf5a,100,1800
19535885,83,mint,0xeede0494e10136a85c803ea84bf7b22e2ff82cacfaa31089f381ddd075575dc8,100,1900
19535886,78,mint,0x677f4a44eecc14c26b5803093f901f146f701076d7a72220fbae976b87137da4,100,2000
